year,co2conc,ch4conc,n2oconc,totforc
2272,1961.5774,3481.1807,526.59945,12.231577
2273,1961.5774,3481.1807,526.59945,12.231577
2274,1961.5774,3481.1807,526.59945,12.231577
2275,1961.5774,3481.1807,526.59945,12.231577
2276,1961.5774,3481.1807,526.59945,12.231577
2277,1961.5774,3481.1807,526.59945,12.231577
2278,1961.5774,3481.1807,526.59945,12.231577
2279,1961.5774,3481.1807,526.59945,12.231577
2280,1961.5774,3481.1807,526.59945,12.231577
2281,1961.5774,3481.1807,526.59945,12.231577
2282,1961.5774,3481.1807,526.59945,12.231577
2283,1961.5774,3481.1807,526.59945,12.231577
2284,1961.5774,3481.1807,526.59945,12.231577
2285,1961.5774,3481.1807,526.59945,12.231577
2286,1961.5774,3481.1807,526.59945,12.231577
2287,1961.5774,3481.1807,526.59945,12.231577
2288,1961.5774,3481.1807,526.59945,12.231577
2289,1961.5774,3481.1807,526.59945,12.231577
2290,1961.5774,3481.1807,526.59945,12.231577
2291,1961.5774,3481.1807,526.59945,12.231577
2292,1961.5774,3481.1807,526.59945,12.231577
2293,1961.5774,3481.1807,526.59945,12.231577
2294,1961.5774,3481.1807,526.59945,12.231577
2295,1961.5774,3481.1807,526.59945,12.231577
2296,1961.5774,3481.1807,526.59945,12.231577
2297,1961.5774,3481.1807,526.59945,12.231577
2298,1961.5774,3481.1807,526.59945,12.231577
2299,1961.5774,3481.1807,526.59945,12.231577
2300,1961.5774,3481.1807,526.59945,12.231577
2301,1961.5774,3481.1807,526.59945,12.231577
2302,1961.5774,3481.1807,526.59945,12.231577
2303,1961.5774,3481.1807,526.59945,12.231577
2304,1961.5774,3481.1807,526.59945,12.231577
2305,1961.5774,3481.1807,526.59945,12.231577
2306,1961.5774,3481.1807,526.59945,12.231577
2307,1961.5774,3481.1807,526.59945,12.231577
2308,1961.5774,3481.1807,526.59945,12.231577
2309,1961.5774,3481.1807,526.59945,12.231577
2310,1961.5774,3481.1807,526.59945,12.231577
2311,1961.5774,3481.1807,526.59945,12.231577
2312,1961.5774,3481.1807,526.59945,12.231577
2313,1961.5774,3481.1807,526.59945,12.231577
2314,1961.5774,3481.1807,526.59945,12.231577
2315,1961.5774,3481.1807,526.59945,12.231577
2316,1961.5774,3481.1807,526.59945,12.231577
2317,1961.5774,3481.1807,526.59945,12.231577
2318,1961.5774,3481.1807,526.59945,12.231577
2319,1961.5774,3481.1807,526.59945,12.231577
2320,1961.5774,3481.1807,526.59945,12.231577
2321,1961.5774,3481.1807,526.59945,12.231577
2322,1961.5774,3481.1807,526.59945,12.231577
2323,1961.5774,3481.1807,526.59945,12.231577
2324,1961.5774,3481.1807,526.59945,12.231577
2325,1961.5774,3481.1807,526.59945,12.231577
2326,1961.5774,3481.1807,526.59945,12.231577
2327,1961.5774,3481.1807,526.59945,12.231577
2328,1961.5774,3481.1807,526.59945,12.231577
2329,1961.5774,3481.1807,526.59945,12.231577
2330,1961.5774,3481.1807,526.59945,12.231577
2331,1961.5774,3481.1807,526.59945,12.231577
2332,1961.5774,3481.1807,526.59945,12.231577
2333,1961.5774,3481.1807,526.59945,12.231577
2334,1961.5774,3481.1807,526.59945,12.231577
2335,1961.5774,3481.1807,526.59945,12.231577
2336,1961.5774,3481.1807,526.59945,12.231577
2337,1961.5774,3481.1807,526.59945,12.231577
