year,co2conc,ch4conc,n2oconc,totforc
2212,380.56263,1249.7174,340.76926,1.816793
2213,380.32426,1249.7676,340.75268,1.8131938
2214,380.09195,1249.8618,340.73626,1.8097121
2215,379.85638,1249.9807,340.71998,1.8062032
2216,379.61345,1250.1126,340.70386,1.802601
2217,379.36304,1250.2528,340.68788,1.7989001
2218,379.10604,1250.397,340.67204,1.79511
2219,378.83665,1250.4938,340.65635,1.7911117
2220,378.55765,1250.5163,340.64081,1.7869255
2221,378.28503,1250.5053,340.6254,1.7828056
2222,378.02696,1250.4897,340.61013,1.7788884
2223,377.78445,1250.4933,340.59501,1.7752056
2224,377.55563,1250.5419,340.58002,1.7717491
2225,377.33266,1250.6344,340.56517,1.7684074
2226,377.10629,1250.7517,340.55045,1.7650359
2227,376.87246,1250.882,340.53586,1.7615687
2228,376.63109,1251.0206,340.52141,1.758001
2229,376.38308,1251.1633,340.50709,1.7543423
2230,376.12271,1251.2586,340.4929,1.7504745
2231,375.85281,1251.2796,340.47884,1.7464187
2232,375.58923,1251.2671,340.46491,1.7424291
2233,375.34006,1251.2501,340.45111,1.7386414
2234,375.10628,1251.2523,340.43743,1.7350868
2235,374.88595,1251.2995,340.42387,1.7317564
2236,374.67128,1251.3905,340.41044,1.7285385
2237,374.4531,1251.5064,340.39713,1.7252884
2238,374.22739,1251.6354,340.38394,1.7219407
2239,373.9941,1251.7727,340.37087,1.7184909
2240,373.75412,1251.914,340.35792,1.7149486
2241,373.50184,1252.008,340.34509,1.7111968
2242,373.24011,1252.0277,340.33238,1.7072569
2243,372.98467,1252.014,340.31978,1.7033834
2244,372.74353,1251.9957,340.30729,1.6997114
2245,372.51759,1251.9967,340.29492,1.6962713
2246,372.30492,1252.0426,340.28266,1.6930536
2247,372.09773,1252.1324,340.27052,1.6899463
2248,371.88692,1252.2471,340.25848,1.6868048
2249,371.66854,1252.3749,340.24655,1.683564
2250,371.44254,1252.5109,340.23474,1.6802196
2251,371.20984,1252.6511,340.22302,1.6767818
