"","GWPmin","GWP10","GWP25","GWPmed","GWP75","GWP90","GWPmax"
"discount1.094",76.9455228649399,41.5109797378394,32.9191948470931,27.7020468804751,23.3985557309688,20.8306250607702,18.1762384937654
"discount1.095",75.6042200140444,41.0315015725154,32.5282844785992,27.3798820442861,23.1736845555553,20.6300361179609,18.0036616766915
"discount1.096",74.3041123329208,40.5826327282844,32.1470550577201,27.0654392768492,22.934888300175,20.4333001417155,17.8345627418235
"discount1.097",73.0435918036004,40.1417456285701,31.7751425231833,26.7537904584565,22.6994631463261,20.2440839010999,17.6688335687959
"discount1.098",71.8211773025654,39.6217109614508,31.4122010409454,26.4499518699329,22.4730953423874,20.0602546198761,17.5063705735963
"discount1.099",70.6352638139588,39.071989341173,31.0505684404411,26.1658926435122,22.2438466478184,19.8799244593101,17.347083392814
"discount1.1",69.4844921742926,38.5473073110252,30.6881923318954,25.8765405515904,22.0193697007145,19.7028893998049,17.1908729142283
"discount1.101",68.3675026594209,38.0381490832933,30.3250869351069,25.5811744200711,21.7966480456572,19.5269628053199,17.0375782970152
"discount1.102",67.2829937491107,37.640111290197,29.9644173316829,25.2942315300089,21.5877983176357,19.3539154187797,16.8872347189612
"discount1.103",66.2297198816805,37.2042476364535,29.617132002094,25.0263511073305,21.3977844239668,19.1839853527695,16.7396975798742
"discount1.104",65.2064892274605,36.7296990596337,29.2719007893042,24.7725761272848,21.2088905791548,19.0175267813537,16.5948864841361
"discount1.105",64.2121615005008,36.3161802124742,28.9451738582738,24.5239215571598,21.0191024077798,18.8541874523505,16.4527240820964
"discount1.106",63.2456458187093,35.9165823428786,28.6352687526269,24.2700709143486,20.8215071309643,18.6937630206766,16.3131359246001
"discount1.107",62.3058986124007,35.5263215703634,28.3381258402207,24.0156001023797,20.627733481214,18.5361736389712,16.1760503456932
"discount1.108",61.3919215929306,35.1156387702838,28.0397649271468,23.7617188436258,20.4365751918233,18.3813424205867,16.0413983338546
"discount1.109",60.5027597748452,34.7469851333277,27.7490001816187,23.5318262770682,20.2510901232725,18.2291952993535,15.9091134195701
"discount1.11",59.6374995664332,34.3813847742967,27.4792387466188,23.3130282950937,20.0691851108034,18.0793891805511,15.7791315610043
"discount1.111",58.7952950885044,33.9521465118438,27.1775368106847,23.1000753333568,19.8856302944955,17.9320348518558,15.6513910376095
