"","GWPmin","GWP10","GWP25","GWPmed","GWP75","GWP90","GWPmax"
"discount1.027",8.35858139717639,12.4989924161202,16.4252724707184,22.2848365303154,29.597649132032,38.8380946349697,44.8156033234353
"discount1.028",8.60948154969035,12.9380238729031,17.271894041366,23.2269855781249,30.7830765329402,39.9831841359044,45.8658238843631
"discount1.029",8.86956576141998,13.6245697346617,18.0412745185976,24.1168686784722,31.862908886552,41.1056343576914,46.8951438599862
"discount1.03",9.13912546832312,14.3255580308114,18.8435995548767,25.1221034715695,32.8640150184363,42.20574075201,47.9040581970064
"discount1.031",9.41841525929679,15.0396599210413,19.6755337603264,26.0583839513928,33.8725526702045,43.2838442660242,48.8930492158025
"discount1.032",9.70765204865979,15.5474189621667,20.4749643156524,27.0026154462301,35.0762887738546,44.3403201713566,49.8625866354564
"discount1.033",10.0070150275041,16.2664637717344,21.3771213268601,27.9794228847107,36.1890897401882,45.3755690701136,50.8131278351436
"discount1.034",10.3166461944615,16.8701399892397,22.2886354187651,28.9944958917245,37.1259411212864,46.3900096532955,51.7451182414667
"discount1.035",10.6366513000192,17.4564751023305,23.1818406752164,29.8607190502413,38.0298516530543,47.3840728749557,52.6589917318778
"discount1.036",10.9671010805053,18.1393425280455,23.9738052988035,30.6310164630397,39.0914197912773,48.358197265305,53.5551710584316
"discount1.037",11.308032684232,18.7635029774033,24.8017025748286,31.4790086790025,40.0489799767994,49.3128251668946,54.4340682389371
"discount1.038",11.6594512148735,19.2497499215804,25.7028172485618,32.4030943848709,41.0341592609398,50.2483997172484,55.296084932364
"discount1.039",12.021331344029,19.9449905530539,26.4890264098712,33.2978318648095,42.0445015329064,51.1653624366747,56.1416127635267
"discount1.04",12.393618951554,20.6622444785611,27.2866897774828,34.2004190430439,43.0930244639128,52.0641513084735,56.9710336601294
"discount1.041",12.7762327724028,21.2181818078403,28.1740046315123,35.1363772218883,44.0937898988487,52.9451992598026,57.784720095506
"discount1.042",13.1690660270884,21.7608483659214,29.0837924957023,36.0664487463305,45.1257650819555,53.8089329682519,58.5830353842031
"discount1.043",13.5719880289418,22.4311412094799,29.8709140633117,36.9615656366827,46.1346907225359,54.6557719353628,59.4004254691168
"discount1.044",13.9848457619335,23.1195969059876,30.6734520283031,37.8367687140956,47.1160399217641,55.4861277790989,60.2885430200128
"discount1.045",14.3859841800078,23.8804724244609,31.487180534164,38.7063127865055,48.0774945618868,56.3004037043087,61.1567166032596
"discount1.046",14.665846900851,24.4746883536495,32.2408972835397,39.569783156412,49.0552277176594,57.0989941190101,62.0055207068333
"discount1.047",14.955592182746,25.0188132487133,32.982596494813,40.4672209587982,49.9558249051024,57.8822843700771,62.8355127538001
"discount1.048",15.2549996187057,25.5765470397286,33.7236747714263,41.39454807922,50.8845772409985,58.6506505771943,63.6472332243394
"discount1.049",15.5638366675494,26.2333065660811,34.4619559517508,42.2729847800362,51.7338427545866,59.4044595461523,64.4412058513171
"discount1.05",15.8818606197767,26.9714852394622,35.2885244435541,43.011270120547,52.5591416481354,60.1440687480516,65.2179378974984
"discount1.051",16.2088203679475,27.660738806006,36.1341562740362,43.8661063884572,53.3908042279973,60.8698263488216,65.9779204751262
"discount1.052",16.5444579867973,28.2672971247408,36.9930925873788,44.7595832925149,54.2376692915746,61.5878525662373,66.7216289007344
"discount1.053",16.888510150423,28.8732208193213,37.8194643339343,45.5770471392804,55.0854290938923,62.3128868156732,67.4495230910415
"discount1.054",17.2407093975169,29.5606414808564,38.5850975923193,46.5076172980062,55.8992298137275,62.9963154262898,68.1620479696256
"discount1.055",17.6007852648974,30.3141057839405,39.4066385176747,47.3933800246065,56.719224410125,63.658494459136,68.85963389395
"discount1.056",17.9684652951063,31.0706533155763,40.2373820384878,48.2424855759203,57.457454328822,64.3228408240664,69.5426970866648
