Region,Site,Patch_id,Species,Patch_coord_lat,Patch_coord_lon,iso_18O_all,iso_13C_all,prod,bowen_18O_annual,bowen_18O_AprSep,bowen_18O_JanApr,bowen_18O_annual.w,bowen_18O_AprSep.w,bowen_18O_JanApr.w,HWT_end_season,elevation,avt,evap,precip,samp_year
"Romania, Maramureș Mts",Tăul Obcioarei bog,1,S.magellanicum,47.68486111,24.53666667,21.42010658,-27.98905483,724.57537165,-10.6048762,-8.537153085,-12.56385207,-10.05569543,-8.585870048,-12.22472642,34.5,1043,15.0659678133333,518.24501177,459.52736736,2013
"Romania, Maramureș Mts",Tăul Obcioarei bog,3,S.magellanicum,47.68486111,24.53666667,23.46418571,-28.83193535,639.745223,-10.6048762,-8.537153085,-12.56385207,-10.05569543,-8.585870048,-12.22472642,35,1043,15.0659678133333,518.24501177,459.52736736,2013
Czech Republic,Mrtvý luh,1,S.magellanicum,48.87066667,13.87008333,22.32427062,-27.2528325,196.2972399275,-10.19842112,-8.40149792,-11.88160205,-9.759160956,-8.41394638,-12.15731946,8,740,14.4355814611667,558.41804334,522.22216243,2013
Czech Republic,Mrtvý luh,3,S.magellanicum,48.87013889,13.87347222,21.79315328,-28.42257834,43.31210191,-10.19842112,-8.40149792,-11.88160205,-9.759160956,-8.41394638,-12.15731946,21,739,14.4355814611667,558.41804334,522.22216243,2013
Czech Republic,Mrtvý luh,1,S.fuscum,48.87066667,13.87002778,22.60428146,-29.61344108,56.62420382,-10.19842112,-8.40149792,-11.88160205,-9.759160956,-8.41394638,-12.15731946,28,740,14.4355814611667,558.41804334,522.22216243,2013
Czech Republic,Mrtvý luh,3,S.fuscum,48.86952778,13.87286111,23.93749435,-27.37326105,123.5700637,-10.19842112,-8.40149792,-11.88160205,-9.759160956,-8.41394638,-12.15731946,32,740,14.4355814611667,558.41804334,522.22216243,2013
Czech Republic,Velký Močálbog,1,S.magellanicum,50.39613889,12.63422222,21.96386957,-28.71654588,74.6942675125,-10.10144929,-8.466415803,-11.62461543,-9.895091172,-8.584299452,-11.80621638,10,927,14.1919748923333,520.24314711,453.22823791,2013
Czech Republic,Velký Močálbog,3,S.magellanicum,50.39622222,12.63538889,23.16881944,-27.00275595,47.751592355,-10.10144929,-8.466415803,-11.62461543,-9.895091172,-8.584299452,-11.80621638,17,926,14.1919748923333,520.24314711,453.22823791,2013
Czech Republic,Velký Močálbog,1,S.fuscum,50.39622222,12.63461111,22.07316412,-27.79177299,98.174097675,-10.10144929,-8.466415803,-11.62461543,-9.895091172,-8.584299452,-11.80621638,18,926,14.1919748923333,520.24314711,453.22823791,2013
Czech Republic,Velký Močálbog,3,S.fuscum,50.39627778,12.63619444,22.51937494,-27.62233337,158.77707005,-10.10144929,-8.466415803,-11.62461543,-9.895091172,-8.584299452,-11.80621638,34,924,14.1919748923333,520.24314711,453.22823791,2013
Czech Republic,Jizerka,1,S.magellanicum,50.82675,15.32963889,22.09393912,-29.66356383,196.076433125,-10.642585,-8.883821726,-12.28572726,-10.12993337,-8.854576147,-12.50255938,22,862,15.3682902033333,573.84136753,550.85572711,2013
Czech Republic,Jizerka,3,S.magellanicum,50.82755556,15.32847222,21.49417397,-28.79306465,80.878980885,-10.642585,-8.883821726,-12.28572726,-10.12993337,-8.854576147,-12.50255938,11,865,15.3682902033333,573.84136753,550.85572711,2013
Czech Republic,Jizerka,1,S.fuscum,50.82752778,15.32844444,23.54457592,-26.5672054,67.89808917,-10.642585,-8.883821726,-12.28572726,-10.12993337,-8.854576147,-12.50255938,14,865,15.3682902033333,573.84136753,550.85572711,2013
Czech Republic,Jizerka,3,S.fuscum,50.82713889,15.32827778,23.26727486,-25.84605155,61.5003538433333,-10.642585,-8.883821726,-12.28572726,-10.12993337,-8.854576147,-12.50255938,14,865,15.3682902033333,573.84136753,550.85572711,2013
Poland (SE),Puścizna Wielka bog,1,S.magellanicum,49.45275,19.75638889,21.88799566,-29.56068184,119.49363058,-10.38394455,-8.44998765,-12.18435979,-10.13668614,-8.356547553,-12.46230739,31,649,14.4375040683333,523.84028751,492.25987504,2013
Poland (SE),Puścizna Wielka bog,3,S.magellanicum,49.45325,19.76105556,22.09484238,-29.97713586,25.738853504,-10.38394455,-8.44998765,-12.18435979,-10.13668614,-8.356547553,-12.46230739,17,653,14.4375040683333,523.84028751,492.25987504,2013
Poland (SE),Puścizna Wielka bog,1,S.fuscum,49.45338889,19.7565,22.68828471,-28.26334592,127.1443736675,-10.38394455,-8.44998765,-12.18435979,-10.13668614,-8.356547553,-12.46230739,33,650,14.4375040683333,523.84028751,492.25987504,2013
Poland (SE),Puścizna Wielka bog,3,S.fuscum,49.45236111,19.75647222,23.195014,-28.54506482,111.560509565,-10.38394455,-8.44998765,-12.18435979,-10.13668614,-8.356547553,-12.46230739,44,651,14.4375040683333,523.84028751,492.25987504,2013
Poland (SE),Tarnawa Niżna,1,S.magellanicum,49.11186111,22.82702778,20.6347,-29.5406,68.2165605075,-10.39018496,-8.387062391,-12.27184939,-10.27726496,-8.46345157,-12.24224981,75,670,14.162372843,534.85356951,371.67142309,2013
Poland (SE),Tarnawa Niżna,3,S.magellanicum,49.112,22.82747222,21.5861,-29.4183,21.77707006425,-10.39018496,-8.387062391,-12.27184939,-10.27726496,-8.46345157,-12.24224981,75,671,14.162372843,534.85356951,371.67142309,2013
Poland (SE),Zakole bog,2,S.magellanicum,49.21588889,22.74138889,19.3587,-27.7593,80.56687898,-10.39018496,-8.387062391,-12.27184939,-10.46009597,-8.483569808,-12.32769654,33,565,15.954125975,513.06099424,545.11085616,2014
Poland (SE),Zakole bog,4,S.magellanicum,49.21522222,22.74197222,20.422,-29.4254,123.0891719925,-10.39018496,-8.387062391,-12.27184939,-10.46009597,-8.483569808,-12.32769654,30,562,15.954125975,513.06099424,545.11085616,2014
