"","Time","Observed","Modeled","Seasonal","Diel","Noise"
"8394","2012.12.16 18:00","0.058","0.837505964944123","-3.1832636981088","0.245344149354294","-0.779505964944123"
"8395","2012.12.16 19:00","0.063","0.637997159244004","-3.1850152758168","0.0475869213621781","-0.574997159244004"
"8396","2012.12.16 20:00","0.067","0.472005797686094","-3.18676521496226","-0.116654501050281","-0.405005797686094"
"8397","2012.12.16 21:00","0.072","0.38292899662557","-3.18851351464488","-0.203983002428178","-0.31092899662557"
"8398","2012.12.16 22:00","0.077","0.390471062960142","-3.19026017396525","-0.194694276773238","-0.313471062960142"
"8399","2012.12.16 23:00","0.082","0.485617277404589","-3.19200519202478","-0.0978030442692639","-0.403617277404589"
"8400","2012.12.17 00:00","0.087","0.633493831708178","-3.19374856792572","0.0518168859352679","-0.546493831708178"
"8401","2012.12.17 01:00","0.092","0.783317339471928","-3.19549030077118","0.203382126544474","-0.691317339471928"
"8402","2012.12.17 02:00","0.095","0.882726879628499","-3.19723038966511","0.304531755594974","-0.787726879628499"
"8403","2012.12.17 03:00","0.099","0.89260920851092","-3.1989688337123","0.316152528524585","-0.79360920851092"
"8404","2012.12.17 04:00","0.103","0.798390932066281","-3.20070563201839","0.223671050386038","-0.695390932066281"
"8405","2012.12.17 05:00","0.107","0.614717044935375","-3.20244078368987","0.0417323149266138","-0.507717044935375"
"8406","2012.12.17 06:00","0.11","0.38221000818232","-3.20417428783407","-0.189041217682238","-0.27221000818232"
"8407","2012.12.17 07:00","0.114","0.15713172225149","-3.20590614355918","-0.412387647887961","-0.0431317222514903"
"8408","2012.12.17 08:00","0.118","-0.00331831025356166","-3.20763634997422","-0.571107473977971","0.114681689746438"
"8409","2012.12.17 09:00","0.127","-0.0561543106221416","-3.20936490618908","-0.622214918131696","0.0708456893778584"
"8410","2012.12.17 10:00","0.144","0.0158431462900035","-3.21109181131447","-0.548490556094158","0.128156853709996"
"8411","2012.12.17 11:00","0.16","0.199271307492155","-3.21281706446198","-0.363337141744496","-0.0392713074921548"
"8412","2012.12.17 12:00","0.168","0.453263927007136","-3.21454066474403","-0.107620921947462","-0.285263927007136"
"8413","2012.12.17 13:00","0.235","0.719847546027073","-3.2162626112739","0.160684643602345","-0.484847546027073"
"8414","2012.12.17 14:00","0.258","0.938760720872696","-3.21798290316572","0.381318110339786","-0.680760720872696"
"8415","2012.12.17 15:00","0.385","1.06281382970185","-3.21970153953447","0.507089855537689","-0.677813829701853"
"8416","2012.12.17 16:00","0.461","1.06972708140817","-3.22141851949597","0.515720087205509","-0.608727081408174"
"8417","2012.12.17 17:00","0.488","0.967329248754053","-3.22313384216691","0.415037577222332","-0.479329248754053"
"8418","2012.12.17 18:00","0.597","0.790776188381089","-3.22484750666482","0.240198181347282","-0.193776188381089"
"8419","2012.12.17 19:00","0.66","0.592580539938938","-3.2265595121081","0.0437145383484089","0.0674194600610617"
"8420","2012.12.17 20:00","0.654","0.428161165974251","-3.22826985761598","-0.118994490108396","0.225838834025749"
"8421","2012.12.17 21:00","0.632","0.340809815656574","-3.22997854230857","-0.204637155733489","0.291190184343426"
"8422","2012.12.17 22:00","0.609","0.350115382142355","-3.2316855653068","-0.193624566249473","0.258884617857645"
"8423","2012.12.17 23:00","0.586","0.446945587237324","-3.23339092573249","-0.0950890007288135","0.139054412762676"
"8424","2012.12.18 00:00","0.563","0.596314935775917","-3.2350946227083","0.0559840447855872","-0.0333149357759173"
"8425","2012.12.18 01:00","0.527","0.747341812612533","-3.23679665535774","0.208712954271641","-0.220341812612533"
"8426","2012.12.18 02:00","0.473","0.847587165997528","-3.23849702280518","0.310658675104082","-0.374587165997529"
"8427","2012.12.18 03:00","0.431","0.857884964448356","-3.24019572417586","0.322655174925589","-0.426884964448356"
